TransportType;RouteNumber;StartDate;StartStop;EndStop;TravelTime;Note
Автобус;12;01.01.2015;Центр;Вокзал;35;Основной
Трамвай;5;15.03.2010;Депо;Площадь;25;Популярный
Троллейбус;3;10.09.2018;Университет;Парк;20;Новый
Автобус;14;02.05.2020;Вокзал;Центр;40;Экспресс
Трамвай;7;12.11.2017;Площадь;Железнодорожный;22;Ирбитский
Автобус;8;19.04.2016;Московская;Площадь;30;Круглый
Троллейбус;10;01.01.2021;Университет;Площадь;18;Новый
Трамвай;15;09.09.2015;Гагарина;Речной вокзал;27;Стандарт
Автобус;2;16.03.2019;Городок;Парк;25;Летний
Троллейбус;11;10.12.2022;Морозова;Центр;20;Экологичный
