TransportType;RouteNumber;StartDate;StartStop;EndStop;TravelTime;Note
Автобус;12;01.01.2015 0:00:00;Центр;Вокзал;35;Основной
Трамвай;12;15.03.2010 0:00:00;Центр;Вокзал;30;Основной
Троллейбус;12;10.09.2018 0:00:00;Центр;Вокзал;38;Основной
Трамвай;5;15.03.2010 0:00:00;Депо;Площадь;25;Популярный
Автобус;5;12.11.2017 0:00:00;Депо;Площадь;30;Популярный
Троллейбус;5;01.01.2021 0:00:00;Депо;Площадь;23;Популярный
Троллейбус;3;10.09.2018 0:00:00;Университет;Парк;20;Новый
Автобус;3;19.04.2016 0:00:00;Университет;Парк;21;Новый
Трамвай;3;02.05.2020 0:00:00;Университет;Парк;22;Новый
Автобус;14;02.05.2020 0:00:00;Вокзал;Центр;40;Экспресс
Трамвай;14;12.11.2017 0:00:00;Вокзал;Центр;37;Экспресс
Троллейбус;14;01.01.2021 0:00:00;Вокзал;Центр;42;Экспресс
Трамвай;7;12.11.2017 0:00:00;Площадь;Железнодорожный;22;Ирбитский
Автобус;7;19.04.2016 0:00:00;Площадь;Железнодорожный;25;Ирбитский
Троллейбус;7;10.09.2018 0:00:00;Площадь;Железнодорожный;28;Ирбитский
Автобус;8;19.04.2016 0:00:00;Московская;Площадь;30;Круглый
Трамвай;8;02.05.2020 0:00:00;Московская;Площадь;32;Круглый
Троллейбус;8;01.01.2021 0:00:00;Московская;Площадь;35;Круглый
Трамвай;15;09.09.2015 0:00:00;Гагарина;Речной вокзал;27;Стандарт
Троллейбус;15;02.05.2020 0:00:00;Гагарина;Речной вокзал;30;Стандарт
Автобус;15;01.01.2015 0:00:00;Гагарина;Речной вокзал;29;Стандарт
Трамвай;16;12.11.2017 0:00:00;Джонсона;Городок;34;Экспресс
Автобус;16;01.01.2021 0:00:00;Джонсона;Городок;36;Экспресс
Троллейбус;16;15.03.2010 0:00:00;Джонсона;Городок;31;Экспресс
Троллейбус;17;15.03.2010 0:00:00;Парк;Станция;26;Популярный
Автобус;17;19.04.2016 0:00:00;Парк;Станция;28;Популярный
Трамвай;17;12.11.2017 0:00:00;Парк;Станция;32;Популярный
Трамвай;18;02.05.2020 0:00:00;Театральная;Гагарина;23;Новинка
Автобус;18;10.09.2018 0:00:00;Театральная;Гагарина;25;Новинка
Троллейбус;18;12.11.2017 0:00:00;Театральная;Гагарина;22;Новинка
Троллейбус;19;01.01.2021 0:00:00;Мостовая;Центр;37;Экспресс
Автобус;19;12.11.2017 0:00:00;Мостовая;Центр;40;Экспресс
Трамвай;19;02.05.2020 0:00:00;Мостовая;Центр;42;Экспресс
Трамвай;20;01.01.2015 0:00:00;Южная;Аэропорт;26;Популярный
Автобус;20;19.04.2016 0:00:00;Южная;Аэропорт;29;Популярный
Троллейбус;20;15.03.2010 0:00:00;Южная;Аэропорт;31;Популярный
